HOME	DRAW	AWAY	RES
2.55	3.4	2.63	1
1.62	4.2	5.25	1
3.25	3.8	2.1	2
2	3.5	3.8	0
3.25	3.6	2.1	2
1.75	3.8	4.75	0
3.8	3.5	2	1
2.3	3.3	3.1	0
1.8	3.75	4.2	1
2.25	3.75	2.8	1
1.62	3.75	5.5	0
2.75	3.2	2.6	2
1.67	3.5	5.5	1
2.5	3.2	2.88	0
2.1	3.3	3.5	1
2.3	3.2	3.2	0
2.75	3	2.75	0
1.8	3.4	4.75	2
2.2	3.1	3.5	2
2.1	3.1	3.75	1
2	3	4	2
2.37	2.87	3.25	0
4	3	2	1
1.61	3.6	4.5	1
1.61	3.4	6	0
3.3	3.1	2.2	1
2.2	3	3.5	2
1.8	3.1	4	1
2.3	3	2.8	1
